AWS EKS,AWS RDS Postgres,AWS RDS Aurora,AWS Step Functions,AWS Lambda Container,AWS Lambda Code,AWS S3,AWS DynamoDB,AWS EC2,AWS CloudFormation,AWS SageMaker,AWS Redshift,AWS Elastic Beanstalk,AWS API Gateway,Cloud Lock-in Score
11,8,15,6,15,1,16,12,16,17,16,0,8,0,59
11,7,10,14,10,16,7,13,5,4,14,2,8,12,65
1,9,4,5,9,14,7,16,5,18,7,18,1,5,59
9,6,9,9,7,11,0,4,3,6,0,12,5,19,49
11,18,17,4,10,9,4,11,19,14,5,18,19,5,73
5,7,16,5,19,3,11,10,18,10,5,11,8,17,64
1,5,16,14,15,1,13,1,18,0,3,3,2,0,38
7,0,1,19,19,11,16,4,11,8,13,18,6,13,70
17,14,12,17,12,8,19,7,6,0,17,5,9,4,66
10,11,19,7,14,19,19,16,8,12,16,11,6,8,83
18,4,10,3,13,9,1,2,3,7,11,4,14,7,50
0,7,4,1,6,5,5,12,19,6,3,4,1,19,38
9,12,18,8,14,14,9,5,7,4,12,10,16,14,73
12,2,8,10,18,7,15,2,6,4,12,6,15,10,59
8,7,5,7,2,16,2,19,8,10,11,4,0,17,56
7,2,14,19,7,9,8,6,16,19,3,5,16,0,59
18,15,12,4,18,12,4,8,8,7,16,7,15,5,70
18,0,17,7,11,9,16,3,2,7,16,2,5,12,57
7,8,19,13,12,19,8,7,9,0,12,3,3,1,59
10,9,16,4,12,4,6,12,16,17,18,16,15,5,74
15,9,9,0,1,13,17,16,11,13,5,15,14,12,65
7,1,13,16,9,10,11,7,4,2,14,1,19,10,60
0,7,10,17,7,11,2,1,10,7,2,11,2,6,46
15,17,11,19,15,6,0,10,0,4,11,17,11,4,71
5,10,16,5,11,14,5,6,10,14,5,12,6,5,58
8,9,8,10,13,19,2,8,9,16,5,6,1,3,56
12,8,12,16,14,10,2,1,3,6,1,6,19,15,61
1,19,4,16,8,9,14,11,1,19,19,5,6,9,68
5,2,2,9,6,10,15,1,9,15,6,7,9,12,48
0,19,6,7,19,14,4,18,19,0,10,10,6,6,65
16,12,13,0,17,9,19,12,0,18,10,1,7,2,60
10,8,19,10,2,12,19,19,7,7,9,5,17,19,74
5,12,11,0,7,1,5,10,10,2,15,4,10,4,43
0,18,14,4,14,1,13,8,18,11,2,1,19,17,58
11,3,5,9,12,15,9,13,3,7,0,9,4,3,50
9,14,18,12,8,2,17,15,6,4,15,16,12,0,69
7,12,4,14,17,8,9,17,12,13,15,9,14,1,72
4,13,13,5,12,1,4,6,18,11,10,10,17,14,61
1,7,17,19,10,17,15,17,9,0,16,5,13,4,74
7,19,15,15,4,0,15,9,17,0,14,3,3,13,56
15,14,9,1,16,10,1,5,19,10,11,13,3,13,62
7,15,18,12,13,1,3,13,12,8,15,3,16,17,71
12,13,5,1,14,6,15,6,0,12,7,12,12,8,56
1,12,2,15,12,7,7,5,2,4,14,18,2,19,61
13,0,4,14,14,16,0,9,11,8,13,13,7,8,65
10,3,15,17,16,13,12,6,6,12,8,18,3,14,75
16,5,0,5,1,3,9,4,9,14,2,5,5,12,35
15,15,15,12,5,8,3,12,17,11,15,16,10,13,76
18,8,2,8,8,2,12,8,16,2,10,1,7,8,43
6,19,1,4,15,18,0,14,10,9,15,17,3,0,65
16,16,11,3,17,12,0,16,19,11,5,2,4,15,64
13,10,2,4,19,8,3,7,19,3,10,8,10,7,54
15,18,13,4,18,7,5,4,7,12,5,10,12,13,65
15,13,19,19,3,18,18,15,8,0,3,19,9,8,78
5,8,1,18,14,16,7,11,3,0,6,15,14,3,63
18,2,5,11,0,19,7,16,7,9,6,12,15,1,61
12,17,2,12,1,4,13,4,2,14,3,17,4,10,51
6,19,4,14,19,11,0,19,9,17,19,6,17,11,84
8,14,12,9,10,13,11,15,12,13,6,12,4,18,72
11,2,15,15,11,3,4,1,12,7,16,19,13,10,67
6,5,9,2,7,1,3,1,2,2,13,8,0,13,35
6,18,13,17,15,16,9,13,8,18,17,2,7,1,77
11,17,19,7,5,18,3,8,11,0,18,10,19,6,73
9,9,7,9,15,16,9,8,12,5,11,3,17,15,67
12,11,5,14,17,1,14,17,4,9,17,4,13,7,67
2,18,2,15,14,12,1,6,8,12,5,10,13,7,61
1,2,13,14,3,3,11,13,2,11,14,0,3,11,49
5,4,19,18,0,12,9,15,8,18,0,10,3,2,58
2,0,5,14,1,2,15,2,7,3,19,7,8,0,39
3,11,18,0,14,15,0,12,3,12,17,16,17,3,73
7,1,14,18,3,7,7,13,16,9,19,11,12,18,73
15,14,16,9,7,11,1,5,10,12,12,14,8,17,71
4,0,1,15,13,17,7,10,7,10,0,8,6,14,55
8,13,16,14,7,7,1,8,9,16,12,11,8,5,65
6,8,14,12,14,18,19,19,11,2,1,16,0,8,69
13,4,16,1,5,2,0,9,8,2,13,9,3,1,40
4,15,7,13,11,0,16,4,9,3,16,6,16,0,53
11,5,19,12,10,11,13,17,13,0,19,12,4,10,73
0,12,2,3,12,16,14,8,2,18,0,6,3,15,51
13,0,0,1,11,12,10,6,7,6,8,0,18,4,42
4,10,17,17,1,6,15,17,12,0,15,0,3,5,54
12,15,15,3,4,14,14,2,19,13,17,10,8,0,62
4,4,8,7,17,4,9,8,19,10,1,8,18,10,55
18,19,2,10,1,13,16,13,9,7,16,11,5,9,65
18,7,8,6,13,12,5,13,7,10,0,11,2,6,54
12,0,15,15,4,13,12,6,2,5,5,9,9,1,52
1,0,8,8,13,17,11,3,15,4,13,18,16,6,65
2,17,12,2,12,1,9,14,19,0,5,12,6,5,49
11,5,4,3,17,6,7,5,0,6,8,0,14,2,41
19,0,7,0,13,2,0,14,5,11,19,0,8,14,52
4,6,0,1,10,0,17,10,9,3,14,15,14,15,53
11,7,16,15,5,8,5,11,10,3,2,10,3,10,54
4,1,11,12,8,17,5,7,18,3,5,15,13,3,58
0,4,4,19,8,14,18,11,6,16,15,3,14,19,72
1,3,8,6,3,9,12,10,10,5,3,16,4,5,44
16,1,11,15,9,19,17,13,3,1,6,10,10,4,65
14,2,17,1,12,16,1,2,8,1,12,3,10,5,50
12,1,13,1,12,12,19,6,0,10,6,5,0,6,46
14,4,12,13,7,11,16,14,0,3,9,13,9,11,65
7,4,4,14,17,8,18,10,8,3,15,2,12,1,57
5,2,15,12,5,1,3,6,7,1,8,2,8,5,38
11,4,12,18,18,5,0,3,13,9,5,18,10,16,69
8,3,2,18,13,4,19,8,5,9,3,9,19,2,56
12,6,16,5,3,2,14,3,9,2,11,6,2,18,46
18,2,19,8,3,14,0,8,15,11,6,10,7,13,61
13,12,2,16,18,0,5,17,17,8,4,7,8,18,64
11,1,16,12,13,3,3,17,3,19,19,10,8,0,68
17,0,5,9,18,9,2,0,1,3,15,12,18,17,64
0,0,5,1,18,10,13,9,3,14,10,13,17,4,58
13,5,9,0,0,10,2,17,16,11,6,3,18,8,51
13,17,12,7,11,2,0,9,9,3,8,18,7,1,55
17,6,18,3,2,9,6,4,5,19,18,17,4,2,61
10,1,13,14,3,7,10,1,19,9,15,19,1,7,58
14,12,12,4,4,10,16,5,7,9,4,10,1,15,52
7,14,1,6,19,4,16,13,19,5,0,14,9,18,61
10,13,15,10,14,19,1,13,5,3,11,17,7,19,80
16,4,7,16,8,9,19,10,12,10,13,0,16,13,66
15,11,15,0,7,2,3,2,6,4,18,5,13,3,47
19,10,10,7,12,2,1,0,12,11,14,3,15,7,54
17,6,15,7,4,15,16,13,18,14,8,19,8,4,72
8,7,17,3,4,16,15,12,15,14,8,14,1,3,61
18,12,18,10,1,13,12,14,9,4,3,0,0,15,55
2,12,0,1,10,3,19,18,18,16,5,6,5,13,51
14,2,13,4,7,17,16,9,19,6,16,7,5,8,62
16,14,11,17,8,16,14,13,10,1,4,8,7,1,63
14,3,10,11,6,18,15,8,9,6,11,19,9,7,69
17,3,8,16,10,9,1,13,16,11,0,16,12,18,69
18,5,4,10,16,12,11,12,10,8,1,9,11,13,63
15,0,17,15,19,14,0,0,6,2,11,7,16,14,69
6,15,7,3,9,4,17,13,7,19,6,9,11,0,54
7,10,8,8,18,17,1,15,7,1,18,4,0,7,62
14,0,4,10,10,19,1,1,0,5,15,10,3,12,55
18,8,0,9,1,0,15,12,14,15,15,9,17,3,56
14,17,3,11,7,16,7,14,1,7,10,18,18,4,72
14,17,18,8,8,15,11,0,19,6,4,5,17,13,65
19,3,11,8,9,15,4,10,13,16,16,4,16,0,66
13,3,9,9,14,11,18,15,3,8,1,7,14,18,65
2,8,6,17,15,13,15,19,17,7,5,18,18,13,81
15,9,2,17,2,13,1,0,10,19,18,10,5,7,61
19,2,10,2,18,5,3,10,0,7,15,11,6,5,56
17,14,7,16,3,1,12,9,16,11,15,14,4,2,60
19,0,13,12,19,5,3,5,4,7,4,1,18,14,58
11,12,18,11,4,14,8,2,18,11,10,8,3,10,61
19,6,1,7,9,11,7,14,0,17,16,18,17,7,73
19,12,5,12,3,12,19,0,17,5,18,9,9,11,63
2,12,16,15,19,7,18,17,18,12,7,7,10,13,77
14,9,6,1,18,7,4,18,13,4,16,16,1,8,63
0,15,14,10,17,14,7,19,1,3,14,9,16,3,73
16,3,13,6,18,6,11,4,12,5,9,6,7,8,54
4,5,18,9,18,12,17,1,14,1,14,14,18,13,74
16,12,5,11,5,0,0,2,11,2,8,7,5,6,38
14,5,19,6,11,12,0,7,8,19,15,10,11,10,71
12,9,15,9,9,0,5,15,19,11,12,0,17,8,60
18,5,10,4,12,18,5,12,7,13,14,0,16,1,63
13,5,9,0,12,8,17,14,3,10,13,17,2,9,61
9,12,7,5,11,5,5,0,5,18,16,7,16,11,59
1,15,13,13,0,18,1,3,9,9,17,19,11,9,70
12,8,12,11,0,15,17,15,12,12,4,4,12,15,65
3,1,10,12,17,13,17,19,7,16,1,9,3,14,67
15,9,8,17,1,8,0,19,7,14,14,13,8,9,69
1,13,19,6,11,15,0,14,2,17,13,0,15,9,68
16,13,1,5,9,5,8,4,10,5,14,16,0,18,55
3,15,15,1,11,16,15,11,1,9,6,13,1,1,56
8,13,11,6,8,10,4,16,12,8,6,8,4,18,60
8,19,15,11,11,10,2,2,19,16,4,8,7,3,59
6,13,14,10,11,9,0,0,19,13,1,10,16,0,54
2,18,5,2,15,10,1,11,17,17,17,16,10,1,67
2,13,7,8,6,6,6,5,15,9,1,14,6,12,48
2,3,9,1,4,8,4,15,10,10,0,3,10,18,44
18,5,13,19,1,0,11,5,16,7,6,12,12,12,58
19,9,15,9,13,12,8,12,16,17,16,14,13,15,86
18,5,10,18,10,3,3,15,5,3,4,14,7,5,58
19,15,5,14,13,19,1,5,11,18,15,15,10,15,84
12,4,9,3,12,5,2,5,18,19,9,15,10,0,54
16,9,8,3,3,14,11,14,1,12,7,8,18,7,60
19,19,14,7,15,12,18,12,9,4,19,13,19,15,89
19,10,10,13,18,8,6,10,11,12,9,8,7,13,70
8,4,2,8,5,16,3,7,14,5,18,5,2,10,50
7,16,12,6,11,16,14,19,2,3,6,5,8,10,64
17,6,2,14,13,3,13,11,0,17,4,16,3,18,64
7,1,0,17,17,1,12,11,15,14,19,7,9,3,61
13,11,15,10,10,8,14,1,3,6,19,8,17,9,67
16,10,16,15,0,18,4,12,6,17,19,11,14,0,77
1,5,11,9,8,15,19,18,4,2,11,9,17,6,66
19,6,14,10,15,7,16,6,9,2,1,13,7,7,58
7,13,5,17,15,11,13,6,18,10,9,19,9,18,78
5,9,16,7,9,19,10,2,11,15,5,12,0,2,56
12,1,18,2,3,17,6,14,4,15,3,10,19,4,61
0,3,9,13,6,15,7,11,10,17,16,19,14,18,79
11,19,13,13,1,17,14,13,8,15,1,12,6,19,73
7,14,3,10,8,0,9,6,16,11,9,17,7,4,52
18,7,2,0,13,10,6,18,2,4,1,11,11,11,53
9,19,0,0,7,1,6,15,19,14,10,1,3,16,47
0,9,8,9,14,10,11,9,1,13,12,16,3,12,64
7,12,16,12,17,1,2,3,8,8,1,4,3,14,49
4,11,18,10,13,5,8,1,17,8,15,14,5,8,63
6,12,11,1,3,13,7,14,19,12,6,4,3,11,51
19,3,10,2,17,17,14,18,11,16,11,1,18,14,77
2,1,6,11,0,14,6,19,12,7,6,3,0,11,46
7,4,5,11,7,3,15,9,11,15,16,6,12,14,60
3,19,11,2,7,16,17,1,3,10,8,2,0,3,45
4,17,1,18,2,2,7,13,8,12,15,2,2,10,51
7,12,15,13,16,5,19,13,1,2,13,15,7,0,66
0,1,16,10,3,4,6,15,0,19,1,1,0,5,39
6,10,15,11,10,1,5,15,7,7,18,16,12,17,73
11,15,12,2,8,10,10,9,9,12,10,12,9,6,61
19,11,5,14,16,13,7,14,15,12,5,3,6,1,62
14,4,7,12,17,11,4,14,19,4,10,4,1,9,59
4,3,17,19,0,0,7,2,6,4,0,18,12,10,49
15,9,17,0,2,3,5,13,5,4,4,15,4,18,51
18,16,3,16,5,4,5,17,3,0,1,15,13,9,58
5,5,6,3,17,16,4,19,15,0,1,12,12,14,61
9,12,9,17,12,12,13,18,2,4,13,4,1,6,64
13,7,11,13,6,16,18,7,15,9,5,18,5,18,72
11,6,9,12,7,10,4,11,18,16,6,19,13,19,74
9,9,8,9,10,15,5,9,9,11,15,4,13,3,62
1,3,9,12,13,18,18,13,13,11,9,19,6,17,77
11,18,16,15,3,3,12,17,13,5,1,13,7,16,65
14,8,11,12,9,9,13,19,19,2,5,19,16,0,70
0,2,5,8,1,6,17,7,16,12,5,8,9,7,43
18,4,2,19,9,4,10,14,9,13,13,12,8,8,66
16,6,12,0,0,17,15,7,15,13,16,18,3,12,66
0,1,10,4,16,14,4,15,6,9,16,18,19,6,72
16,7,16,2,5,4,5,5,18,8,17,0,1,12,47
7,1,19,1,5,14,13,6,16,18,13,8,8,15,64
5,5,6,2,13,11,5,10,12,5,7,12,18,11,58
10,6,6,2,12,5,10,9,6,14,4,1,9,2,41
16,7,13,3,7,7,19,7,4,1,2,7,11,7,47
0,7,10,3,11,7,4,0,18,11,9,8,8,19,51
6,8,10,18,10,19,5,10,4,14,19,14,14,2,79
15,2,3,12,14,1,18,17,9,8,5,6,12,7,56
6,0,0,17,15,8,7,1,16,16,3,3,19,5,52
1,15,19,10,17,18,15,8,14,13,8,5,13,19,80
2,9,0,19,18,3,3,9,17,2,15,12,17,15,68
11,18,18,0,12,14,19,2,3,12,8,17,14,5,70
11,18,19,7,5,4,5,10,0,9,15,8,10,14,64
1,14,1,15,19,15,13,14,18,12,11,19,4,0,74
8,14,19,2,2,11,14,16,2,2,7,4,18,18,63
18,17,15,1,12,8,1,2,4,19,7,16,9,2,61
11,0,3,10,8,9,18,13,8,11,7,9,3,9,53
4,4,10,9,7,9,16,6,0,10,13,6,8,17,57
14,0,11,5,8,15,3,6,14,17,4,17,11,18,66
15,4,13,2,2,0,18,13,1,7,16,16,10,5,55
10,4,13,17,16,0,13,10,18,4,9,12,19,0,65
14,9,6,13,11,15,8,15,7,10,1,5,2,18,62
3,9,10,14,7,4,8,18,14,10,11,7,12,15,65
5,10,18,4,17,9,19,15,5,3,13,7,4,16,67
4,1,4,15,14,19,3,16,4,19,2,11,13,15,72
15,5,14,1,1,3,11,8,16,18,17,7,19,11,62
10,10,9,15,15,12,12,5,19,11,16,1,7,4,64
5,11,16,4,7,14,10,8,12,8,15,16,1,8,63
12,13,19,3,4,11,11,14,15,5,2,4,13,6,55
16,18,7,18,16,13,4,14,10,3,13,4,2,19,74
5,6,3,2,12,4,15,1,7,8,14,8,2,12,43
8,2,11,10,15,14,2,11,6,18,18,14,18,16,83
6,19,13,0,9,13,2,18,18,3,0,8,8,14,57
19,2,3,9,6,6,4,9,10,17,17,7,12,8,59
9,16,19,2,19,0,9,6,11,9,4,9,14,4,57
7,16,17,11,11,18,2,10,12,13,7,9,1,16,71
4,9,15,6,18,17,15,17,15,13,16,13,4,1,77
11,16,17,1,2,8,1,15,15,7,3,6,0,12,48
8,17,16,11,5,2,16,1,6,15,2,14,5,6,53
1,9,5,17,13,18,18,12,8,6,4,2,9,10,62
13,2,5,9,12,2,7,2,5,0,13,11,12,8,48
14,7,9,13,7,19,19,11,1,4,6,10,16,13,70
13,4,18,6,6,17,8,3,19,6,17,19,2,3,65
0,1,11,1,9,18,18,3,6,12,4,10,13,13,55
19,0,14,9,9,7,6,3,5,16,8,2,13,16,58
10,9,14,2,1,0,0,7,12,6,11,9,13,9,45
8,9,6,16,6,16,11,11,12,11,5,14,14,8,69
4,13,8,8,10,16,5,14,14,9,18,10,6,18,73
7,5,18,12,0,9,9,1,16,16,17,8,8,11,61
4,0,19,9,4,10,1,6,13,14,17,19,8,13,68
14,17,15,1,17,4,12,6,5,1,9,12,18,7,62
0,3,4,13,15,5,6,17,18,11,14,18,14,14,73
5,11,11,6,3,4,18,3,3,15,4,2,15,9,46
17,19,13,10,15,6,11,1,12,0,16,18,13,3,70
16,2,7,9,7,1,16,3,19,0,7,16,11,1,46
10,19,15,10,7,0,11,2,0,14,18,10,17,7,65
10,10,13,13,19,10,7,2,13,17,8,6,4,12,66
1,17,2,19,7,10,6,18,6,5,8,19,19,1,70
10,13,5,5,2,3,15,9,10,9,12,14,17,5,56
5,18,12,19,15,13,18,6,6,15,15,13,4,4,77
3,6,6,15,2,19,0,18,12,7,19,7,18,1,68
16,5,8,3,13,10,13,15,12,7,2,4,5,0,47
10,19,3,6,17,13,16,4,14,11,15,9,11,6,68
6,12,18,18,16,5,19,14,16,14,11,19,10,10,86
13,19,10,8,4,7,2,5,15,10,3,12,12,3,53
18,19,9,7,8,1,11,2,14,2,18,2,13,18,59
9,16,1,14,3,9,3,3,0,1,13,3,10,14,48
5,16,12,19,5,9,1,17,7,3,6,4,1,6,54
12,1,9,15,5,6,11,19,9,0,7,11,12,16,62
11,4,8,13,7,11,3,2,15,11,19,9,0,17,61
18,7,4,4,10,17,0,10,11,2,7,18,12,12,63
1,6,15,10,0,18,14,15,1,9,8,2,18,6,60
19,4,8,0,9,6,15,4,1,4,17,7,5,8,48
11,10,15,5,1,6,17,6,13,4,17,1,5,13,51
6,18,10,3,2,1,11,4,8,11,11,9,5,9,46
7,17,7,18,14,19,17,2,15,11,10,4,13,12,74
9,19,7,13,9,5,15,12,2,16,8,15,12,6,68
3,8,16,12,1,9,15,10,16,9,18,17,10,14,73
18,15,8,1,16,3,18,0,19,2,9,7,8,8,51
0,17,4,11,8,0,3,14,14,6,19,0,16,6,54
1,14,11,17,18,18,12,12,9,4,16,0,5,17,75
9,7,9,1,14,0,1,7,10,11,5,12,0,5,41
16,0,3,16,13,17,18,17,0,8,14,18,17,0,78
9,16,0,11,5,8,11,4,2,3,11,4,1,13,44
10,5,12,8,11,12,7,7,6,15,9,6,15,19,67
17,14,10,4,6,4,1,18,16,15,13,12,13,14,70
18,7,6,5,6,15,10,3,8,5,9,16,18,18,66
19,6,19,3,8,0,4,1,1,13,4,12,12,1,47
12,9,15,1,10,11,8,1,0,6,6,12,13,1,50
11,16,1,5,19,10,8,0,8,17,0,14,1,16,56
17,3,0,14,17,6,14,9,19,3,14,10,3,16,63
9,17,10,17,11,3,11,16,0,11,13,11,15,6,72
18,18,3,15,3,1,11,13,7,16,12,10,3,10,61
9,14,9,14,10,9,8,6,13,13,12,7,17,4,66
7,3,9,6,16,4,1,2,3,12,18,13,6,13,57
11,0,0,2,7,1,13,13,7,12,14,6,13,14,50
12,9,14,7,15,15,9,17,13,18,14,11,17,18,88
8,4,9,19,9,10,2,4,13,11,7,16,10,1,60
12,1,15,2,12,14,10,13,1,3,2,12,5,8,53
13,5,2,11,1,4,13,13,14,7,5,8,11,4,46
10,10,14,1,15,8,17,10,6,9,16,18,13,11,74
11,1,11,8,14,18,5,10,13,3,17,11,0,19,69
15,10,12,0,18,1,9,10,2,2,9,7,17,10,56
16,8,2,7,3,9,13,9,15,5,5,19,5,0,49
7,2,13,12,8,10,13,7,15,5,13,6,0,3,51
17,12,2,4,15,16,15,8,17,8,9,2,4,8,57
11,14,8,11,14,8,0,0,8,0,6,11,9,1,48
1,2,14,2,7,4,15,1,15,9,12,14,1,5,44
19,1,0,7,14,13,7,10,8,19,8,11,2,18,63
15,7,5,9,13,15,9,6,4,5,10,8,0,8,54
19,13,19,19,3,2,8,16,6,14,9,2,10,13,69
0,9,6,2,10,8,12,1,5,15,10,1,16,18,51
16,8,17,15,8,1,1,14,18,10,18,5,4,15,67
17,7,13,3,13,13,15,10,7,9,14,9,6,10,66
9,14,9,18,19,12,15,1,19,7,19,5,2,16,74
13,10,0,0,0,10,9,12,8,18,9,10,14,3,51
11,6,11,1,0,13,7,13,6,4,14,3,6,2,45
12,2,0,6,2,0,9,15,10,11,14,19,5,15,54
7,14,19,11,12,9,11,12,11,8,0,10,8,3,61
9,7,17,2,7,8,16,14,9,9,7,0,17,19,61
14,17,3,14,18,1,15,14,2,11,7,7,11,11,65
15,10,8,17,1,10,6,14,3,7,10,3,10,11,59
18,8,19,17,6,0,1,17,12,9,9,17,11,14,74
7,12,0,3,4,17,2,3,0,3,13,8,2,3,39
6,18,4,6,4,4,4,17,16,3,8,12,10,12,55
17,9,15,13,6,6,5,0,11,4,17,10,18,16,68
3,13,1,11,14,13,6,3,16,9,11,19,1,8,60
13,11,3,13,12,12,9,13,16,4,2,11,8,6,59
7,11,6,13,5,19,8,5,15,13,2,14,16,8,65
16,3,13,8,9,8,10,9,7,1,13,5,8,1,51
19,14,3,10,7,12,17,16,11,7,4,11,5,1,58
0,1,4,2,12,17,2,12,14,7,17,17,4,12,61
10,6,8,14,6,16,7,18,2,0,11,19,5,14,70
10,13,15,2,11,19,18,8,13,17,13,16,5,12,78
13,1,2,4,4,0,6,0,8,19,0,15,8,13,39
4,18,7,4,17,19,17,8,7,8,11,18,11,0,71
3,0,10,16,8,8,14,8,3,4,4,4,19,12,54
13,13,0,6,4,7,11,5,17,6,9,13,10,17,55
3,6,17,2,1,19,19,2,9,9,8,12,3,4,51
5,17,4,2,15,10,12,13,18,2,2,17,9,18,63
9,10,0,15,18,4,1,18,9,13,10,0,13,8,61
10,17,4,15,16,11,7,2,14,9,13,18,2,11,69
8,3,11,4,9,9,2,13,18,14,6,3,14,5,53
11,1,0,13,16,4,12,16,3,19,6,11,14,7,63
10,4,8,14,1,0,10,4,12,4,10,13,2,8,44
9,15,14,11,7,6,14,13,19,16,15,9,5,4,68
12,14,4,4,10,8,18,5,16,12,1,2,13,2,46
10,17,6,10,18,3,18,9,12,10,18,4,0,8,62
0,5,11,0,12,7,19,19,13,7,1,10,10,13,55
6,13,16,7,1,18,7,7,19,13,15,18,19,7,77
13,18,9,18,3,17,14,10,12,0,14,19,19,7,81
9,13,4,12,1,5,0,3,9,15,10,15,4,9,51
19,4,3,6,9,6,16,6,12,5,13,9,3,1,47
8,7,13,14,9,11,9,11,0,1,12,19,17,17,75
13,11,6,12,7,14,14,2,8,6,3,17,8,2,56
5,13,9,18,9,12,15,8,2,18,1,6,12,7,63
13,6,0,9,13,12,16,4,13,2,7,16,4,4,52
16,19,9,16,14,16,7,13,12,4,17,0,10,11,76
3,12,0,9,18,19,1,6,0,14,14,12,8,17,70
2,15,4,0,18,5,8,11,19,7,7,8,9,10,53
3,10,18,11,6,12,15,8,6,3,9,12,14,2,61
10,19,8,10,5,18,17,17,5,4,2,16,15,10,72
19,11,11,3,3,13,2,11,10,5,5,3,14,1,49
12,0,1,6,11,15,14,14,4,9,19,4,1,10,57
14,15,6,6,3,1,19,13,11,8,7,19,1,6,53
0,6,6,2,2,8,9,11,3,7,1,7,8,2,33
6,3,2,1,13,11,5,18,11,10,10,5,0,16,52
9,7,7,17,9,3,10,9,9,11,3,4,16,14,57
3,9,3,0,14,12,0,6,12,16,13,5,19,9,57
16,2,14,13,19,19,0,4,11,10,5,14,11,6,71
10,4,14,11,15,17,15,7,6,14,13,18,5,13,79
3,14,13,18,16,14,6,10,3,13,9,18,19,12,85
7,5,12,9,14,8,6,10,1,8,9,1,11,3,51
8,17,10,19,8,3,18,5,11,1,18,15,18,0,69
14,18,16,0,6,1,9,15,10,18,16,7,10,15,67
13,13,1,17,7,12,15,8,17,11,14,7,10,12,69
13,4,16,1,8,9,19,10,8,12,19,14,2,7,64
2,4,4,15,5,17,13,15,17,3,1,12,13,3,57
17,0,0,0,10,16,3,19,15,7,11,12,10,9,60
3,0,12,8,2,7,6,16,7,17,1,2,12,14,49
6,10,11,8,5,19,5,12,17,7,9,15,9,11,68
9,8,10,7,1,16,12,3,0,11,3,17,2,1,48
14,15,3,18,0,9,11,3,18,9,11,1,1,17,53
19,3,11,6,5,0,3,2,16,4,3,18,3,17,46
11,16,16,14,2,16,17,4,19,12,2,15,3,10,67
14,14,19,15,10,7,3,19,13,5,15,16,3,15,80
3,7,6,0,9,13,13,4,7,4,14,0,1,1,36
12,8,13,18,8,13,16,11,18,2,6,14,6,18,73
18,10,18,4,8,18,12,1,5,16,12,18,9,6,72
18,18,3,19,3,9,7,0,5,4,7,4,4,2,45
19,3,10,19,1,5,15,1,12,11,2,6,5,4,46
6,13,5,8,19,4,14,10,8,2,18,13,13,2,64
6,2,4,17,4,16,5,10,0,17,13,9,9,15,66
11,18,8,6,19,19,19,2,7,7,0,6,0,15,60
15,18,9,15,14,15,8,2,15,9,2,15,3,19,71
15,1,14,6,8,2,19,16,15,8,5,17,0,3,54
17,19,6,15,7,1,13,3,17,5,1,8,5,7,48
18,7,10,8,15,4,10,13,17,16,2,18,19,7,72
18,12,11,10,19,12,19,18,8,10,5,15,11,0,76
2,15,10,2,1,12,8,17,2,13,17,7,10,5,59
4,0,5,2,3,12,0,16,17,12,19,10,13,10,59
0,13,11,2,14,18,2,0,19,1,5,8,6,0,45
9,0,9,3,11,14,9,6,5,14,0,1,6,11,44
7,15,0,19,5,8,3,9,14,14,14,2,7,9,57
18,7,3,10,7,2,1,7,4,2,2,14,5,11,43
